Annual Income,Loan Amount,Credit Score,Number of Loans,Employment Status,Employment Encoded,Missed Payments,Default
39826.49,10939.58,701,1,Self-Employed,1,1,0
49896.63,9451.56,631,3,Self-Employed,1,0,0
51609.57,16916.96,641,4,Unemployed,2,2,1
50337.29,6553.35,644,4,Unemployed,2,2,1
35092.16,11658.5,621,3,Self-Employed,1,1,0
46792.36,8625.96,713,2,Unemployed,2,1,0
49369.68,14268.91,712,4,Unemployed,2,1,0
45086.14,12535.65,660,3,Unemployed,2,1,0
19962.27,16729.14,725,3,Unemployed,2,0,1
46925.88,14938.22,622,2,Self-Employed,1,1,0
71550.37,12326.39,675,4,Self-Employed,1,0,0
40679.53,14977.38,712,0,Self-Employed,1,2,0
36263.07,15343.03,680,3,Self-Employed,1,1,1
49480.18,8350.0,732,4,Employed,0,1,0
48748.54,15092.53,676,0,Self-Employed,1,1,0
59312.82,13189.05,641,1,Employed,0,1,0
29905.58,13957.88,594,3,Self-Employed,1,0,0
53776.56,10369.74,627,2,Employed,0,1,0
52085.06,8582.6,692,4,Unemployed,2,1,0
43294.24,7863.14,700,1,Self-Employed,1,0,0
49064.25,-1633.1,549,2,Self-Employed,1,0,0
57353.49,9162.65,622,3,Self-Employed,1,3,0
55467.78,21757.02,673,4,Self-Employed,1,1,0
31283.77,15289.65,659,0,Self-Employed,1,2,1
54841.9,13273.84,611,1,Employed,0,0,0
44223.74,15844.16,725,1,Employed,0,0,0
45874.49,10959.88,694,1,Unemployed,2,1,0
45878.36,10432.35,759,3,Unemployed,2,0,0
43197.08,10839.06,632,2,Unemployed,2,1,0
59300.49,9056.0,571,3,Employed,0,4,1
43995.38,9385.19,657,1,Employed,0,0,0
31565.45,11936.77,750,3,Employed,0,0,0
40277.64,12257.85,659,4,Unemployed,2,0,0
47144.34,17304.83,680,3,Employed,0,0,0
59750.58,16098.59,674,3,Self-Employed,1,6,0
52237.14,6057.81,584,3,Self-Employed,1,0,0
34793.58,10822.19,602,4,Self-Employed,1,1,0
74822.28,7577.52,621,2,Unemployed,2,3,1
48177.3,1566.71,636,2,Unemployed,2,0,0
60304.69,12348.99,699,2,Unemployed,2,1,0
43179.43,14308.89,611,4,Employed,0,2,0
51400.31,12285.32,527,0,Self-Employed,1,0,0
55073.62,13747.62,606,2,Unemployed,2,3,1
59618.34,10661.07,627,2,Self-Employed,1,2,0
57688.42,7889.04,717,1,Self-Employed,1,1,0
55466.36,10531.95,609,0,Employed,0,1,0
41218.96,17475.15,484,2,Employed,0,2,0
38139.05,13498.48,602,0,Unemployed,2,0,0
48991.29,5917.06,650,4,Self-Employed,1,0,0
56197.54,12520.27,532,1,Employed,0,1,0
42327.35,17095.13,679,2,Unemployed,2,1,0
57782.06,15045.36,672,3,Unemployed,2,1,0
62431.4,17147.24,650,4,Unemployed,2,0,0
34004.15,6045.87,674,1,Self-Employed,1,1,0
34956.95,12503.13,626,2,Employed,0,2,0
43315.5,10606.95,616,4,Unemployed,2,2,1
48691.35,14379.89,618,2,Self-Employed,1,1,0
38705.2,8603.53,633,3,Unemployed,2,2,1
61226.43,8533.72,750,4,Employed,0,0,0
50088.8,11987.73,612,3,Unemployed,2,0,0
45473.36,8312.99,688,0,Unemployed,2,0,0
27769.09,13037.7,601,2,Self-Employed,1,2,0
29210.21,3843.4,648,3,Unemployed,2,1,0
48372.11,16702.96,646,0,Unemployed,2,0,0
19408.85,859.2,480,0,Unemployed,2,1,0
57151.65,15618.89,655,2,Self-Employed,1,1,0
43102.15,9676.35,614,4,Unemployed,2,2,1
83917.12,6201.85,562,3,Employed,0,0,0
72695.0,12679.97,661,1,Unemployed,2,1,0
42822.61,15542.46,703,0,Unemployed,2,0,0
43723.96,16634.01,650,1,Self-Employed,1,0,0
56946.98,16503.16,701,3,Self-Employed,1,0,0
65438.07,8566.25,756,3,Self-Employed,1,1,0
25343.65,12819.4,647,1,Employed,0,1,0
23563.49,4887.83,661,1,Self-Employed,1,0,0
37535.58,12317.18,666,3,Unemployed,2,2,1
51992.85,13352.41,691,3,Self-Employed,1,1,0
50962.48,10499.46,614,4,Self-Employed,1,2,0
57837.26,4657.27,702,1,Unemployed,2,1,0
30603.63,9624.6,703,0,Self-Employed,1,1,0
17206.27,19629.26,666,4,Unemployed,2,4,1
55296.17,13564.08,724,1,Self-Employed,1,1,0
35061.64,10061.3,703,4,Self-Employed,1,0,0
20778.15,11363.31,595,4,Unemployed,2,3,1
46740.76,13538.46,651,2,Self-Employed,1,1,0
54518.11,5803.13,691,1,Unemployed,2,0,0
43535.31,6011.06,703,3,Self-Employed,1,1,0
39505.82,9055.25,522,1,Unemployed,2,1,0
43087.65,9954.79,644,1,Self-Employed,1,0,0
40553.01,19175.84,712,1,Employed,0,0,0
28823.43,12282.62,701,3,Employed,0,1,0
36423.83,9932.37,573,1,Self-Employed,1,0,0
51255.36,12226.08,603,2,Unemployed,2,1,0
48860.14,3900.61,670,3,Unemployed,2,0,0
47016.72,8383.64,644,0,Employed,0,0,0
33058.22,9006.06,638,2,Unemployed,2,2,1
42821.96,7917.82,652,1,Employed,0,2,0
18875.22,16937.93,638,2,Self-Employed,1,2,1
47141.72,14640.32,633,4,Unemployed,2,1,0
62146.29,7157.86,679,3,Unemployed,2,1,0
27310.41,6932.65,689,0,Unemployed,2,1,0
37968.87,6962.29,654,0,Employed,0,0,0
48949.28,11253.06,715,1,Unemployed,2,0,0
60034.11,12800.52,620,0,Self-Employed,1,1,0
39621.3,13664.54,653,2,Self-Employed,1,0,0
36693.0,7942.36,639,0,Employed,0,1,0
21372.92,11286.54,576,2,Self-Employed,1,1,0
46241.26,11776.47,678,4,Employed,0,0,0
69504.91,16787.76,707,0,Self-Employed,1,2,0
48328.3,15096.84,692,2,Self-Employed,1,1,0
44732.65,6258.94,662,4,Employed,0,0,0
48864.99,4464.97,573,3,Self-Employed,1,1,0
44866.9,11555.95,684,1,Self-Employed,1,1,0
35243.83,9451.09,741,3,Unemployed,2,0,0
54879.36,8156.19,644,1,Unemployed,2,2,1
47709.14,8974.39,655,0,Self-Employed,1,1,0
45211.36,14318.18,713,4,Employed,0,2,0
33295.61,5985.33,654,3,Unemployed,2,1,0
60642.1,19393.37,641,1,Unemployed,2,1,0
52976.43,9129.9,650,4,Employed,0,0,0
38364.95,14530.14,689,2,Unemployed,2,0,0
57021.9,9323.84,696,4,Self-Employed,1,2,0
39029.15,5926.93,543,4,Self-Employed,1,2,0
35615.96,11416.21,683,2,Self-Employed,1,1,0
35883.56,6983.93,657,1,Employed,0,1,0
23747.18,12588.4,610,0,Unemployed,2,0,0
50658.51,11899.21,721,2,Self-Employed,1,2,0
23026.26,9221.55,682,4,Employed,0,0,0
30258.67,12605.74,584,2,Self-Employed,1,0,0
20092.94,16155.36,686,0,Self-Employed,1,0,1
43967.16,11560.22,708,2,Self-Employed,1,1,0
43196.15,9085.75,611,2,Self-Employed,1,0,0
41079.65,13599.76,660,0,Employed,0,0,0
32489.07,13766.29,645,4,Employed,0,0,0
30933.19,10860.39,650,3,Employed,0,3,0
50572.44,17493.89,634,1,Self-Employed,1,1,0
38393.38,10801.84,627,3,Employed,0,3,0
48796.3,17951.76,681,2,Employed,0,2,0
34377.02,9381.09,655,3,Employed,0,2,0
47172.75,15401.52,688,4,Self-Employed,1,1,0
60639.34,11120.82,703,0,Unemployed,2,0,0
52033.99,13074.18,730,0,Employed,0,2,0
40051.03,3895.23,611,3,Employed,0,1,0
48086.39,20674.92,715,3,Unemployed,2,2,1
42112.02,13267.74,673,4,Unemployed,2,2,1
45094.56,16067.06,659,0,Unemployed,2,2,1
41092.67,6489.27,666,0,Employed,0,0,0
43027.98,12686.36,643,4,Self-Employed,1,0,0
47545.12,11282.32,570,2,Self-Employed,1,0,0
33079.7,7769.59,691,3,Employed,0,1,0
32809.45,17141.14,679,1,Unemployed,2,1,1
28337.49,12585.09,665,1,Unemployed,2,3,1
25796.75,11783.35,576,2,Employed,0,2,0
30392.61,14499.0,658,1,Self-Employed,1,0,0
46913.55,8581.27,672,4,Unemployed,2,0,0
34286.55,12645.16,743,2,Unemployed,2,1,0
51163.37,12360.73,669,0,Employed,0,1,0
45416.56,12536.53,562,4,Self-Employed,1,5,1
21377.95,16109.21,675,2,Unemployed,2,0,1
52859.71,10302.11,708,0,Employed,0,1,0
54729.58,9880.11,633,2,Self-Employed,1,1,0
33073.65,9542.52,572,1,Unemployed,2,2,1
50042.3,9376.95,743,4,Self-Employed,1,1,0
34722.02,16409.34,656,3,Self-Employed,1,3,1
46172.04,11717.24,623,0,Employed,0,1,0
29826.02,16091.22,689,1,Unemployed,2,1,1
23482.72,13084.09,603,1,Employed,0,1,0
40406.19,8503.51,603,4,Unemployed,2,1,0
43515.25,5972.15,630,1,Employed,0,1,0
40227.84,6191.89,661,1,Self-Employed,1,0,0
30791.63,8436.56,619,2,Self-Employed,1,0,0
40201.21,16078.89,677,2,Self-Employed,1,0,0
48231.54,17203.17,684,0,Employed,0,1,0
44461.28,12371.81,648,0,Employed,0,1,0
47190.01,15707.65,640,1,Self-Employed,1,1,0
36958.62,9780.04,692,4,Employed,0,2,0
59060.61,9488.69,679,0,Employed,0,1,0
30885.92,15083.09,596,2,Self-Employed,1,0,1
50850.72,12665.06,711,3,Unemployed,2,2,1
59182.69,14933.94,688,4,Unemployed,2,1,0
50770.9,12204.91,623,1,Unemployed,2,1,0
42569.71,10498.54,567,4,Employed,0,0,0
38660.44,11137.03,664,1,Unemployed,2,0,0
57433.05,13228.52,661,2,Employed,0,4,0
27924.3,12959.45,663,0,Unemployed,2,0,0
33358.51,8272.36,719,1,Employed,0,1,0
40229.31,11513.19,648,1,Self-Employed,1,2,0
59851.85,5917.77,669,2,Employed,0,0,0
49557.21,10603.54,678,2,Unemployed,2,1,0
33383.45,8316.97,627,0,Employed,0,1,0
41276.31,-183.48,688,1,Employed,0,1,0
37628.12,20840.07,718,1,Employed,0,0,1
36482.53,8910.82,629,4,Employed,0,0,0
56746.67,8234.81,558,3,Unemployed,2,0,0
28539.08,18491.68,610,1,Self-Employed,1,0,1
64305.37,7311.95,653,2,Self-Employed,1,0,0
54938.76,6194.44,571,4,Self-Employed,1,2,0
58090.34,11178.37,623,0,Unemployed,2,0,0
39444.73,10020.11,651,2,Unemployed,2,0,0
43200.71,9442.57,682,3,Unemployed,2,0,0
27802.18,8330.78,699,3,Unemployed,2,0,0
38704.05,11245.64,667,0,Employed,0,1,0
50923.86,18545.96,641,0,Unemployed,2,3,1
60552.76,5557.43,629,1,Employed,0,2,0
31714.12,15362.41,647,0,Unemployed,2,0,1
40613.93,18134.76,690,4,Employed,0,0,0
43184.41,9495.21,676,0,Self-Employed,1,1,0
28250.53,13505.59,651,1,Unemployed,2,1,0
52096.19,11512.15,715,0,Self-Employed,1,2,0
36312.12,5122.85,633,0,Employed,0,0,0
42655.32,16875.95,704,3,Self-Employed,1,0,0
39576.61,12140.88,628,0,Employed,0,1,0
35527.94,9916.06,594,2,Unemployed,2,0,0
44915.46,5913.32,653,2,Self-Employed,1,1,0
42412.69,14083.61,559,4,Unemployed,2,2,1
40537.71,12608.47,635,0,Unemployed,2,2,1
36258.46,14423.22,690,0,Self-Employed,1,1,0
48834.3,14221.06,689,2,Self-Employed,1,0,0
64843.41,8747.2,716,3,Unemployed,2,3,1
46678.65,-1679.62,614,0,Self-Employed,1,1,0
56953.42,11560.24,596,2,Unemployed,2,1,0
28317.34,11291.28,682,4,Employed,0,0,0
46893.14,12655.27,612,4,Employed,0,2,0
31831.58,18071.51,660,0,Self-Employed,1,3,1
27276.9,11805.09,598,2,Unemployed,2,0,0
36127.54,14770.32,627,1,Employed,0,0,0
59302.79,13508.37,625,4,Employed,0,0,0
56400.19,6460.77,649,2,Employed,0,0,0
47916.06,6839.27,644,4,Self-Employed,1,0,0
26607.59,16614.34,661,0,Employed,0,2,1
42644.63,8482.13,661,1,Unemployed,2,0,0
48620.4,13476.64,673,3,Employed,0,1,0
47106.43,7904.22,633,4,Self-Employed,1,5,0
22874.48,14985.74,674,3,Unemployed,2,0,0
34316.19,12989.69,701,1,Unemployed,2,0,0
44231.07,10808.64,591,4,Employed,0,2,0
51435.49,14666.34,600,4,Employed,0,2,0
18646.47,13038.8,685,4,Employed,0,1,0
43054.51,9110.94,689,0,Employed,0,2,0
46716.59,12047.81,633,2,Unemployed,2,0,0
55195.34,14676.44,680,1,Employed,0,1,0
53314.29,16430.78,630,0,Unemployed,2,1,0
51990.86,11485.12,648,4,Self-Employed,1,2,0
35400.71,19145.81,648,1,Self-Employed,1,3,1
22103.97,9021.93,655,2,Employed,0,0,0
40283.37,5772.62,719,2,Unemployed,2,2,1
57019.58,6355.75,773,0,Unemployed,2,1,0
61721.45,11960.19,581,0,Employed,0,2,0
53526.59,12048.1,621,2,Employed,0,2,0
50152.09,12502.41,615,2,Employed,0,2,0
49555.68,9327.77,718,3,Unemployed,2,1,0
38326.58,20902.86,709,1,Unemployed,2,2,1
43439.28,18043.72,694,0,Employed,0,0,0
65028.83,7422.85,630,1,Unemployed,2,2,1
33689.3,11592.28,660,4,Employed,0,2,0
64377.35,12197.14,570,0,Employed,0,1,0
41135.66,14742.52,686,2,Self-Employed,1,4,0
60905.19,5903.19,669,2,Unemployed,2,1,0
28118.22,5143.5,626,1,Self-Employed,1,0,0
52030.85,7124.36,689,1,Employed,0,0,0
36158.76,18016.43,639,3,Self-Employed,1,3,1
28016.79,9381.18,557,4,Unemployed,2,0,0
47622.41,15234.12,713,2,Employed,0,1,0
57113.66,14355.32,736,2,Employed,0,2,0
34860.7,11281.26,581,4,Self-Employed,1,1,0
27011.81,15309.75,663,1,Self-Employed,1,1,1
43897.86,7089.92,724,1,Unemployed,2,0,0
43950.78,10114.26,583,4,Self-Employed,1,0,0
51579.84,3133.16,543,1,Unemployed,2,0,0
56395.13,12390.73,638,3,Employed,0,0,0
44287.02,8830.71,654,4,Unemployed,2,0,0
67266.04,20759.71,714,3,Employed,0,1,0
47690.82,12234.74,764,2,Employed,0,1,0
40842.88,15277.44,683,4,Self-Employed,1,1,0
25661.19,14611.26,562,1,Self-Employed,1,0,0
41848.09,11689.4,672,3,Unemployed,2,0,0
40963.36,15968.35,642,4,Employed,0,0,0
56523.66,12132.29,697,2,Employed,0,0,0
50549.8,13902.35,555,1,Employed,0,2,0
30847.57,21431.99,696,2,Self-Employed,1,0,1
47067.05,12769.06,729,1,Unemployed,2,2,1
53058.37,9888.85,661,4,Unemployed,2,0,0
63336.38,9168.73,708,3,Unemployed,2,1,0
55650.05,11667.72,689,1,Employed,0,2,0
54130.16,12468.73,541,1,Unemployed,2,0,0
45721.03,12236.6,658,1,Unemployed,2,1,0
49659.74,5672.02,666,0,Unemployed,2,0,0
59994.06,2945.78,596,0,Unemployed,2,1,0
29006.67,8125.11,665,1,Unemployed,2,1,0
40806.73,12234.84,567,1,Unemployed,2,2,1
35729.18,12252.76,651,0,Unemployed,2,0,0
49549.84,13818.13,672,0,Self-Employed,1,3,0
59762.67,13452.01,772,0,Employed,0,3,0
37836.31,10001.9,604,0,Unemployed,2,1,0
16316.35,7917.29,686,3,Unemployed,2,1,0
40053.35,14084.25,589,2,Self-Employed,1,2,0
55961.68,12904.46,707,1,Self-Employed,1,1,0
51451.56,7627.16,647,1,Unemployed,2,0,0
50138.23,14499.1,678,3,Unemployed,2,1,0
41640.08,15828.15,604,1,Unemployed,2,1,0
29651.63,15157.87,676,4,Employed,0,1,1
51183.53,15857.88,620,2,Unemployed,2,0,0
34988.62,8997.57,643,4,Employed,0,0,0
71209.16,15407.2,594,0,Unemployed,2,1,0
51846.09,11368.64,632,4,Unemployed,2,0,0
38032.22,20179.29,663,0,Employed,0,1,1
37663.38,15576.51,649,2,Employed,0,0,1
43884.67,13717.6,711,3,Self-Employed,1,2,0
42125.98,18865.03,621,0,Self-Employed,1,2,0
58402.01,9974.82,729,2,Self-Employed,1,0,0
47236.99,14202.74,632,1,Unemployed,2,0,0
36220.42,20942.33,731,3,Unemployed,2,1,1
67685.29,15252.76,666,3,Unemployed,2,1,0
45591.7,12605.77,753,0,Self-Employed,1,2,0
54226.08,10920.74,657,3,Unemployed,2,2,1
37701.28,8126.91,571,0,Self-Employed,1,1,0
49357.39,10841.78,638,4,Self-Employed,1,4,0
48733.32,8724.68,649,3,Self-Employed,1,1,0
22324.21,11079.16,731,3,Self-Employed,1,1,0
69183.3,11559.24,561,3,Self-Employed,1,0,0
60487.73,15955.0,604,4,Self-Employed,1,1,0
40233.66,10365.54,660,4,Self-Employed,1,0,0
31772.76,9613.48,665,2,Unemployed,2,0,0
49170.74,15548.94,712,2,Employed,0,2,0
46040.37,14786.78,551,0,Employed,0,2,0
49268.03,11026.2,614,0,Employed,0,3,0
47298.93,14403.61,692,1,Unemployed,2,1,0
51074.89,10951.88,646,1,Employed,0,0,0
62367.67,11147.26,685,3,Employed,0,0,0
51817.24,18215.48,643,0,Unemployed,2,1,0
32404.13,11448.68,701,0,Self-Employed,1,1,0
61350.75,10376.63,616,3,Self-Employed,1,0,0
64687.37,12071.52,637,4,Self-Employed,1,1,0
82824.68,4138.59,647,2,Self-Employed,1,0,0
31518.07,11328.19,613,3,Self-Employed,1,0,0
47914.58,13018.93,655,3,Unemployed,2,2,1
20014.82,19925.54,628,1,Self-Employed,1,0,1
51637.79,12369.52,665,1,Self-Employed,1,0,0
38421.6,13751.67,663,3,Self-Employed,1,1,0
68081.35,13385.73,612,0,Self-Employed,1,3,0
35704.62,21074.41,677,2,Unemployed,2,0,1
24729.8,16010.8,662,4,Self-Employed,1,1,1
39344.84,6196.01,620,0,Unemployed,2,1,0
21294.15,16916.63,693,3,Unemployed,2,1,1
54013.19,8220.29,655,0,Employed,0,2,0
20219.0,9385.47,703,3,Unemployed,2,1,0
45341.49,6801.05,720,0,Employed,0,0,0
20066.26,19289.34,595,3,Employed,0,0,1
41156.43,16745.37,734,3,Employed,0,0,0
64720.54,16922.65,677,3,Employed,0,1,0
49327.77,16143.55,665,2,Self-Employed,1,1,0
34638.08,14762.97,615,1,Unemployed,2,1,0
44625.56,10721.23,666,0,Self-Employed,1,2,0
45216.2,12824.19,538,0,Self-Employed,1,2,0
50671.56,9934.63,594,0,Self-Employed,1,1,0
28597.7,8594.66,556,0,Unemployed,2,0,0
52110.81,9438.07,643,3,Self-Employed,1,1,0
12547.3,21416.69,717,4,Unemployed,2,0,1
37441.39,10470.79,663,2,Self-Employed,1,0,0
39140.71,16003.11,679,0,Employed,0,2,1
52599.92,20308.68,638,3,Self-Employed,1,0,0
45271.57,15122.82,650,2,Employed,0,1,0
28133.24,8847.92,560,2,Unemployed,2,0,0
33180.08,9053.56,702,0,Employed,0,0,0
47384.16,12475.41,675,2,Unemployed,2,0,0
44051.19,21027.11,689,4,Employed,0,0,0
38050.51,17694.17,667,2,Self-Employed,1,1,1
39229.99,14146.6,627,1,Employed,0,1,0
53354.02,11183.3,675,2,Unemployed,2,0,0
38787.69,13517.78,635,1,Self-Employed,1,1,0
43942.91,12756.98,645,3,Employed,0,1,0
71039.24,12731.63,706,3,Self-Employed,1,2,0
27915.81,8498.37,700,0,Unemployed,2,0,0
22777.89,8423.22,626,2,Employed,0,1,0
54403.08,13315.23,668,0,Employed,0,2,0
36856.28,7361.4,703,4,Unemployed,2,1,0
41181.15,9499.56,576,2,Self-Employed,1,3,1
35626.12,12118.58,655,2,Unemployed,2,2,1
41882.4,13323.18,655,3,Unemployed,2,1,0
64182.46,16463.0,565,1,Unemployed,2,0,0
54625.54,6987.8,601,4,Self-Employed,1,0,0
55346.68,7000.0,588,1,Employed,0,0,0
28005.28,17225.26,643,1,Unemployed,2,2,1
31186.16,18705.96,660,1,Employed,0,0,1
10931.06,7823.66,579,1,Self-Employed,1,1,0
35287.43,8619.11,614,4,Unemployed,2,1,0
56480.44,14182.24,640,3,Unemployed,2,1,0
51203.36,12194.89,741,4,Employed,0,2,0
42341.84,12226.05,621,1,Employed,0,1,0
44732.4,8877.46,647,4,Unemployed,2,1,0
36733.37,14878.78,665,2,Self-Employed,1,1,0
47457.11,11051.35,736,1,Employed,0,3,0
54190.54,10919.8,657,0,Unemployed,2,1,0
25609.36,7475.05,739,4,Employed,0,2,0
48595.77,15165.37,574,4,Unemployed,2,0,0
56189.22,10554.54,686,2,Employed,0,1,0
40018.8,11819.39,609,1,Unemployed,2,2,1
53408.41,16759.19,637,2,Employed,0,2,0
78775.85,7812.64,627,0,Self-Employed,1,1,0
43747.89,11653.29,596,3,Unemployed,2,2,1
49719.68,5767.39,705,3,Employed,0,1,0
36143.31,9905.44,600,1,Self-Employed,1,2,0
47175.01,17152.87,617,0,Self-Employed,1,1,0
50523.26,5834.4,638,4,Self-Employed,1,1,0
47338.11,12942.72,616,1,Employed,0,3,0
32763.66,18414.17,664,1,Self-Employed,1,0,1
47476.34,14195.01,555,1,Employed,0,0,0
62546.35,9664.79,604,0,Unemployed,2,1,0
50383.63,7553.07,611,3,Self-Employed,1,2,0
56543.85,4281.55,606,0,Self-Employed,1,1,0
42155.86,18249.31,718,4,Employed,0,0,0
53998.8,10316.47,628,3,Unemployed,2,0,0
48351.21,4792.08,625,2,Unemployed,2,1,0
33589.07,7915.34,658,3,Unemployed,2,0,0
48822.25,7687.61,700,3,Self-Employed,1,1,0
33099.64,10019.54,617,1,Employed,0,0,0
37405.44,21553.42,662,2,Employed,0,1,1
47271.94,15691.76,585,2,Self-Employed,1,0,0
48566.93,13937.23,665,4,Employed,0,1,0
30729.21,16789.89,647,2,Unemployed,2,0,1
57647.83,19335.45,597,1,Self-Employed,1,0,0
51864.08,14112.52,563,4,Employed,0,2,0
36543.26,17764.79,709,4,Unemployed,2,1,1
26548.98,9436.95,695,0,Self-Employed,1,1,0
43261.15,8549.07,676,1,Unemployed,2,1,0
39648.68,7873.61,714,3,Self-Employed,1,4,0
46357.69,13175.79,676,2,Unemployed,2,0,0
40642.6,1480.49,603,4,Unemployed,2,1,0
20910.52,17298.81,659,0,Self-Employed,1,1,1
40339.84,10025.33,726,0,Self-Employed,1,3,0
41332.57,15305.15,623,2,Self-Employed,1,4,0
52603.93,6432.77,635,4,Self-Employed,1,1,0
36621.6,16444.99,669,2,Employed,0,1,1
65144.1,17531.41,725,4,Unemployed,2,1,0
22060.31,12411.64,683,3,Unemployed,2,1,0
60734.01,14111.11,607,4,Unemployed,2,1,0
42308.17,7895.06,655,0,Unemployed,2,0,0
55315.02,12182.2,655,4,Employed,0,2,0
45957.62,15889.15,682,0,Employed,0,0,0
58674.67,10787.97,581,4,Self-Employed,1,0,0
40351.66,18105.51,582,1,Self-Employed,1,1,0
31816.55,4867.2,644,2,Unemployed,2,1,0
62046.05,10685.39,648,2,Unemployed,2,1,0
43638.23,4315.28,607,1,Unemployed,2,2,1
47658.7,13264.65,653,3,Self-Employed,1,1,0
59817.02,11147.91,651,3,Employed,0,0,0
32616.54,11296.51,741,0,Self-Employed,1,3,0
52145.89,14960.01,630,4,Employed,0,0,0
37921.26,10864.98,591,2,Self-Employed,1,1,0
43413.97,23226.8,722,2,Self-Employed,1,1,0
45867.35,15234.11,622,3,Self-Employed,1,0,0
26997.34,12120.18,670,0,Unemployed,2,0,0
35653.96,9301.16,706,2,Employed,0,1,0
61212.87,8357.12,734,2,Employed,0,2,0
55634.29,13748.11,657,2,Employed,0,1,0
44248.33,9893.84,591,2,Unemployed,2,0,0
47917.48,15963.54,670,4,Unemployed,2,0,0
41469.09,11670.88,644,4,Unemployed,2,0,0
61279.0,11684.34,597,2,Employed,0,0,0
42595.77,12458.6,697,2,Unemployed,2,1,0
47782.11,11391.92,692,3,Self-Employed,1,0,0
58752.36,13108.58,718,2,Employed,0,0,0
35671.54,20278.05,660,3,Self-Employed,1,1,1
63705.47,14163.28,567,1,Employed,0,0,0
26634.46,13693.37,743,4,Self-Employed,1,1,0
64555.71,15148.03,579,1,Unemployed,2,0,0
40527.89,11565.96,605,0,Employed,0,1,0
42087.62,8145.39,623,2,Employed,0,0,0
22319.88,-76.33,679,4,Employed,0,0,0
39542.46,3796.69,634,1,Self-Employed,1,1,0
32522.32,14991.77,681,3,Unemployed,2,2,1
37708.24,13475.2,593,1,Self-Employed,1,3,1
43352.27,11408.05,638,0,Self-Employed,1,1,0
56493.5,21449.15,695,4,Unemployed,2,1,0
47491.24,11862.96,705,2,Unemployed,2,1,0
48692.12,2552.96,689,3,Unemployed,2,1,0
31853.77,15001.98,673,0,Employed,0,0,1
34430.95,16643.79,617,1,Self-Employed,1,2,1
66584.7,14880.34,609,1,Unemployed,2,2,1
36177.59,16702.9,688,3,Employed,0,2,1
64874.5,4956.48,654,2,Self-Employed,1,0,0
42083.27,12378.75,605,3,Employed,0,2,0
45027.46,8679.9,694,3,Self-Employed,1,1,0
57844.38,14092.39,620,2,Self-Employed,1,2,0
60262.71,18081.25,720,2,Employed,0,2,0
43670.25,10527.49,625,3,Unemployed,2,1,0
40341.08,14606.41,617,1,Unemployed,2,1,0
44328.95,8494.15,620,0,Employed,0,1,0
49055.49,11929.94,634,3,Employed,0,0,0
55695.64,9943.17,680,1,Unemployed,2,1,0
45050.76,19204.0,643,4,Self-Employed,1,0,0
52426.64,7680.73,731,4,Self-Employed,1,0,0
64660.32,12352.95,645,1,Unemployed,2,1,0
49575.72,17477.25,598,4,Employed,0,2,0
48739.83,4220.16,660,4,Self-Employed,1,1,0
26773.07,13725.0,751,0,Unemployed,2,1,0
13431.24,12444.45,649,2,Unemployed,2,0,0
49660.51,9275.28,563,0,Unemployed,2,2,1
43862.11,16864.42,606,4,Employed,0,2,0
38822.61,18863.85,666,0,Unemployed,2,1,1
47922.36,14631.94,555,0,Self-Employed,1,1,0
44275.16,10812.92,730,2,Self-Employed,1,1,0
58533.36,6212.29,629,2,Employed,0,0,0
46033.33,12719.93,504,0,Employed,0,1,0
36036.92,11385.39,772,3,Unemployed,2,2,1
56881.99,11628.21,723,4,Employed,0,1,0
42394.43,10012.45,620,3,Unemployed,2,2,1
51318.44,9660.69,605,0,Employed,0,0,0
39271.07,12116.25,645,0,Self-Employed,1,1,0
37202.08,7074.84,732,0,Self-Employed,1,0,0
46010.02,16145.65,650,0,Self-Employed,1,2,0
45153.94,8946.77,579,0,Employed,0,0,0
50757.92,12448.15,714,1,Unemployed,2,0,0
41776.25,10702.86,675,1,Self-Employed,1,0,0
22963.68,14600.8,580,2,Employed,0,1,0
39806.71,14381.75,615,3,Self-Employed,1,0,0
54525.82,14028.15,641,3,Employed,0,0,0
41431.49,7324.43,642,1,Self-Employed,1,1,0
42043.4,11230.17,696,2,Employed,0,1,0
56836.52,18409.04,705,1,Employed,0,0,0
36456.32,10632.46,668,4,Unemployed,2,3,1
26486.36,16197.12,704,2,Unemployed,2,1,1
43072.43,11959.43,673,0,Employed,0,2,0
39189.91,10760.95,599,4,Unemployed,2,0,0
33405.04,12746.24,652,0,Employed,0,1,0
42895.46,8671.18,624,3,Unemployed,2,2,1
50898.07,15599.5,707,2,Employed,0,1,0
44888.54,8584.31,615,3,Employed,0,5,0
48683.77,14214.65,667,4,Employed,0,0,0
66760.89,16314.44,618,1,Employed,0,1,0
40885.45,13702.92,568,3,Employed,0,0,0
48340.18,9723.93,654,1,Employed,0,1,0
38889.44,12742.83,664,2,Unemployed,2,0,0
34843.68,9063.13,701,1,Employed,0,0,0
37981.11,11154.68,685,0,Employed,0,1,0
39254.9,9906.87,589,1,Unemployed,2,0,0
49313.71,8955.01,648,3,Employed,0,0,0
73188.91,14522.3,596,2,Unemployed,2,0,0
36407.48,15935.77,609,2,Self-Employed,1,1,1
40000.5,16213.09,664,2,Self-Employed,1,2,0
44242.52,12968.47,675,4,Employed,0,4,0
49749.59,17876.58,571,3,Self-Employed,1,1,0
